Yaw,Roll,Pitch,ax,ay,az
359.9375,-2.75,49.9375,-0.05,0.01,0
359.9375,-2.75,49.9375,-0.01,0.01,0
359.9375,-2.75,49.9375,-0.02,0.02,-0.01
359.9375,-2.75,49.9375,-0.02,0,-0.02
359.9375,-2.75,49.9375,-0.03,0,0
359.9375,-2.75,49.9375,-0.01,0.02,-0.01
359.9375,-2.75,49.9375,-0.04,0.03,-0.02
359.9375,-2.75,49.9375,-0.02,0.05,0
359.9375,-2.75,49.9375,-0.03,0,-0.02
359.9375,-2.75,49.9375,-0.02,0.02,0
359.9375,-2.75,49.9375,-0.03,0.01,0.02
359.9375,-2.75,49.9375,-0.02,0,-0.01
359.9375,-2.75,49.9375,-0.03,0.06,-0.08
0,-2.75,49.9375,-0.02,0.03,-0.1
0,-2.8125,49.875,-0.11,0,0.13
0,-2.75,49.875,0.08,0.09,-0.16
0,-2.8125,49.875,-2.16,0.81,1.59
0.125,-2.5625,50.1875,1.55,0.32,-3.39
0.625,-2.75,51,-1.29,-1.33,-6.32
1.8125,-2.625,51.1875,-3.25,-1.61,0.69
5.1875,-0.3125,48.9375,3.87,3.07,0.05
5.6875,0.5,47.125,-2.72,-0.54,0.47
6.0625,1.6875,45.1875,-3.13,-1.55,1.71
7.125,3.125,43.625,-2.7,1.41,2.3
7.6875,3.5,42.125,-4.05,3.02,-2.49
8.125,3.25,40.25,0.81,-2.2,2.3
9.5,4.125,37.9375,-1.88,1.2,3.24
10.875,5.1875,35.5625,-1.65,1.89,-3.06
11.1875,3.5625,32.1875,0.1,-0.83,-2.69
12.25,3.6875,29.8125,-2.05,-0.27,2.7
13.0625,3.5,27.625,-4.42,4.01,0.33
12.8125,1.75,26.0625,-4.1,2.06,-1.93
12.3125,-0.5625,24.6875,-0.8,-0.22,-0.51
13.375,-1.625,22.0625,2.58,-1.59,5.41
14,-2.8125,19.75,3.18,-1.06,4.43
13.9375,-4.6875,18.5625,3.21,-1.29,3.19
12.75,-8.25,16.375,4.36,-2.54,2.85
13.4375,-8.3125,14.625,3.98,-1.32,4.46
13.5625,-8,13.375,1.69,-1.11,5.98
12.9375,-8.125,12.9375,1.5,-1.22,5.67
12.625,-7.9375,12.625,3.18,-1.57,3.49
12.5625,-7.1875,12.4375,1.11,0.46,1.06
12.375,-6.0625,12.625,-2.6,3.1,-0.48
12.25,-4.4375,11.875,-1.97,3.16,-3.89
11.9375,-3.9375,11.125,-3.58,3.37,-2.9
11.625,-3.75,9.875,-3.67,2.18,-2.29
11.75,-3.75,7.8125,-1.93,0.33,-2.64
11.6875,-4.125,6,-0.93,-0.97,-1.31
11.1875,-4.75,4.9375,-1.78,-1.17,0.24
10.75,-5.4375,4.0625,-1.44,-1.45,1.01
10.625,-6.25,3.25,0.08,-2.17,1.68
10.25,-7.125,2.8125,0.05,-1.34,2.1
10.25,-8.375,2.6875,0.6,-1.15,2
10.25,-9,3.0625,1.25,-0.86,1.49
10.25,-9.625,3.75,1.06,0.75,1.94
10.5,-10.0625,4.4375,0.99,2.17,2.11
10.5625,-10.625,5.3125,1.09,2.73,2.19
10.3125,-11.3125,6.1875,2.47,3.48,1.49
10.25,-11.9375,6.875,2.92,3.69,1.15
9.8125,-12.4375,7.4375,2.32,4.16,1.51
8.625,-13.0625,7.8125,2.4,4.22,1.53
7.9375,-13.375,7.6875,2.51,3.49,1.3
7.0625,-13.5,7.3125,2.23,3.21,1.51
6.3125,-13.375,6.8125,2.04,3.22,1.36
5.3125,-13.1875,6.125,1.66,2.17,0.94
4.25,-12.9375,5.5,1.27,1.55,0.83
3.0625,-12.5,4.8125,-0.1,0.9,0.43
1.9375,-11.875,4.125,-0.73,0.14,-0.86
0.875,-11.375,3.4375,-1.35,-0.42,-1.18
358.875,-10.375,2.4375,-1.36,-0.52,-1.93
358.125,-10.1875,2.1875,-1.88,-0.48,-2.59
357.375,-10.1875,2.1875,-1.9,-0.23,-2.33
356.5625,-10.5625,2.4375,-2.35,0.25,-2.01
355.875,-11.1875,2.875,-2.11,0.81,-1.79
355.3125,-12.0625,3.25,-1.05,2.48,0.3
354.6875,-13.1875,3.75,0,2.17,0.73
354.0625,-14.5,4.0625,1.95,2.14,0.76
352.875,-17.3125,4.1875,3.16,1.65,1.87
352.0625,-18.4375,4.125,3.73,1.5,2.19
351.375,-19.0625,3.875,3.7,1.4,2.47
350.4375,-19.375,3.5625,3.09,1.02,2.63
349.4375,-19.375,3.25,1.85,0.98,2.49
348.375,-19.0625,3,0.5,0.43,1.15
346.0625,-18.1875,2.625,-0.81,0.05,-0.07
344.9375,-17.625,2.4375,-1.27,0.07,-0.7
344,-17.125,2.3125,-1.91,0.09,-1
342.9375,-16.875,2.1875,-2.06,-0.41,-1.55
342,-16.75,2,-2.34,-0.4,-1.73
341.25,-16.8125,1.9375,-2.12,-0.65,-1.22
340.4375,-17.0625,1.875,-1.47,-0.46,-1.01
339.8125,-17.625,1.875,-0.51,-0.57,-0.3
338.6875,-18.9375,1.875,0,-0.39,0.22
338.25,-19.625,2,0.77,-0.13,0.43
337.8125,-20.3125,2.125,1.27,0.02,0.7
337.25,-20.875,2.375,1.45,0.81,1.58
336.8125,-21.3125,2.625,1.88,0.98,1.44
336.25,-21.5625,2.75,2.14,1.42,0.8
335.625,-21.6875,3,1.88,1.46,0.4
334.9375,-21.5625,3.0625,1.47,1.4,0
333.4375,-20.6875,2.75,1.05,1.19,-0.53
332.5625,-20.0625,2.4375,-0.6,0.81,-0.97
331.75,-19.375,2,-1.58,0.7,-1
330.9375,-18.75,1.5,-2.18,0.37,-1.24
330.125,-18.3125,1,-2.45,-0.02,-1.38
329.375,-18.1875,0.5,-1.58,-1.13,-1.21
327.9375,-18.375,-0.4375,-1.28,-1.35,-0.79
327.375,-18.625,-0.9375,-0.92,-1.71,-0.47
326.75,-18.9375,-1.375,-0.45,-1.95,0.36
326.3125,-19.25,-1.625,-1.01,-1.64,1.44
325.9375,-19.5625,-1.6875,-1.27,-0.59,1.73
326,-20.0625,-1.75,2.43,-2.46,-0.44
325.5625,-20.4375,-1.8125,0.99,-0.66,1.41
325,-20.4375,-1.5625,2.26,-1.52,-0.23
324.25,-20.25,-1.25,0.09,-0.41,0.23
323.8125,-19.75,-0.9375,0.3,-0.27,-0.73
323.3125,-19.25,-0.625,-0.44,-0.1,-1.23
322.75,-18.8125,-0.3125,-1.75,0.29,-1.01
322.375,-18.375,-0.1875,-1.36,-0.02,-2.05
321.9375,-18.3125,-0.0625,-2.04,0.75,-1.09
321.8125,-18.5,-0.25,-0.61,-1.07,-1.1
320.8125,-19,-0.75,-1.56,-0.6,0.57
320.625,-19.25,-1.0625,0.28,-1.38,-0.1
320.0625,-19.5,-1.1875,0.81,-1.77,-0.08
319.8125,-19.5625,-1.25,0.61,-1.71,0.65
319.6875,-19.5,-1.25,0.51,-1.46,0.76
319.25,-19.5,-1,0.75,-1.67,0.38
319.0625,-19.3125,-0.6875,0.03,-0.43,-0.07
318.5,-18.875,0.0625,-0.26,-0.29,-0.3
318.3125,-18.625,0.375,-0.47,-0.05,-0.39
318.125,-18.4375,0.625,-0.61,0.46,-0.33
317.8125,-18.375,0.75,-0.23,0.31,-0.42
317.5625,-18.25,0.75,0.18,0.21,-0.48
317.3125,-18.125,0.625,0.5,0.2,-0.06
317,-18,0.5625,0.78,0.03,-0.15
316.6875,-17.875,0.5,0.84,0.03,-0.11
316,-17.375,0.1875,0.86,-0.16,-0.18
315.6875,-17,0,0.35,-0.24,-0.16
315.375,-16.625,-0.125,0.13,-0.38,-0.3
314.9375,-16.25,-0.25,-0.11,-0.65,-0.46
314.625,-15.9375,-0.4375,-0.44,-0.79,-0.52
314.25,-15.625,-0.5,-0.78,-1.16,-0.86
313.9375,-15.4375,-0.5625,-0.94,-1.09,-0.78
313.6875,-15.3125,-0.5625,-0.9,-1.02,-0.7
313.1875,-15.375,-0.375,-0.74,-1.02,-0.73
