Yaw,Roll,Pitch,ax,ay,az
264.25,-10.125,15.125,1.07,-0.36,-0.03
263.875,-9.9375,14.6875,0.29,0.19,-0.18
263.5625,-9.6875,14.4375,-0.41,0.94,-0.4
262.625,-9.125,14.75,-0.71,1.85,-0.47
262,-9,14.8125,-1.44,2.43,-0.43
261.5,-9,14.625,-1.24,2.41,-0.34
261.0625,-9.0625,14.125,-0.89,1.94,-0.1
260.5625,-9.25,13.3125,-0.32,1.09,0.08
260.1875,-9.3125,12.375,0.73,-0.76,0.07
259.9375,-9.375,11.4375,0.24,-0.49,0.29
259.3125,-8.9375,9.75,-0.54,-0.74,0.4
258.9375,-8.6875,9.1875,-0.51,-0.71,0.01
258.5625,-8.4375,8.875,-0.55,-0.65,-0.48
258.25,-8.1875,8.625,-0.73,-0.31,-0.68
258,-7.9375,8.5,-0.95,0.48,-1.37
257.8125,-7.75,8.4375,-1.23,0.81,-1.55
257.625,-7.625,8.3125,-1.23,1.12,-1.73
257.4375,-7.5,8.125,-1.12,1.09,-1.18
257.1875,-7.5625,7.3125,-0.73,0.58,-0.93
257.0625,-7.8125,6.6875,-0.2,0.06,-0.85
257,-8,6.0625,0.05,-0.18,-0.45
256.875,-8.1875,5.5625,0.51,-0.65,-0.03
256.75,-8.375,5.1875,0.51,-0.39,0.17
256.6875,-8.4375,4.9375,0.62,0.8,-0.68
256.625,-8.5,4.875,1.38,0.04,-1.82
256.875,-8.5625,5,-0.79,0.56,-0.03
256.5625,-8.4375,4.8125,-0.11,0.15,-0.93
256.5625,-8.3125,4.625,-0.55,0.23,-1.35
256.4375,-8.1875,4.375,-1,0.05,-1.27
256.1875,-8.125,4.25,-1.15,0.16,-1.33
256.1875,-8.0625,4,-1.11,0.1,-1.34
256.0625,-8.1875,3.75,-0.63,-0.38,-0.25
255.9375,-8.4375,3.5,0.21,-0.89,-0.42
255.875,-9.0625,3.0625,0.57,-0.95,-0.27
255.875,-9.375,3,1.04,-0.62,-0.31
255.875,-9.5625,3.0625,0.85,-0.27,-0.33
255.875,-9.6875,3.25,0.94,0.14,-0.66
255.8125,-9.6875,3.4375,0.64,0.79,-1.14
255.8125,-9.6875,3.6875,0.64,1.09,-1.5
