Yaw,Roll,Pitch,x,y,z
213,-0.625,-4.3125,-0.038824,-0.068504,-0.090672
213,-0.625,-4.3125,-0.083153,-0.095956,-0.057915
213,-0.625,-4.3125,-0.050644,-0.069348,-0.021162
213,-0.625,-4.3125,-0.018797,-0.033256,-0.01212
213,-0.625,-4.3125,-0.013508,-0.032701,-0.003514
213,-0.625,-4.3125,0.000696,-0.01836,-0.00388
213,-0.625,-4.3125,-0.003252,-0.021009,-0.004427
213,-0.625,-4.3125,-0.006831,-0.023744,-0.007122
213,-0.625,-4.3125,-0.010602,-0.033848,-0.022386
213,-0.625,-4.3125,-0.022025,-0.044178,-0.033067
213,-0.625,-4.3125,-0.031149,-0.046706,-0.023464
213,-0.625,-4.3125,-0.021353,-0.037805,-0.023482
213,-0.5625,-4.25,-0.022963,-0.036927,-0.019572
213,-0.5625,-4.25,-0.021098,-0.037854,-0.014267
213,-0.5625,-4.25,-0.013592,-0.026846,-0.007567
213,-0.5625,-4.25,-0.004895,-0.019195,-0.015067
213,-0.5625,-4.25,-0.0079,-0.01069,-0.00828
213,-0.5,-4.1875,-0.007385,-0.01656,-0.012718
213,-0.5,-4.1875,-0.011429,-0.023532,-0.016809
213,-0.5,-4.1875,-0.016084,-0.031087,-0.023049
213,-0.5,-4.125,-0.023844,-0.04111,-0.031247
213,-0.4375,-4.125,-0.031092,-0.044224,-0.014854
213,-0.4375,-4.125,-0.014117,-0.030849,0.002081
213,-0.3125,-4.125,0.005173,-0.003192,0.005913
213,-0.25,-4.125,0.02743,-0.033956,-0.015733
213,-0.1875,-4.1875,0.209908,-0.21295,0.176315
212.75,0,-4.125,0.075597,-0.005301,-0.022022
212.375,0.3125,-4.0625,0.001726,0.029019,0.252207
211.9375,0.4375,-3.625,-0.007977,0.1737,1.46273
211.6875,0,-3.5,0.542974,-0.18797,2.231785
211.875,-0.875,-3.625,0.164198,0.685385,4.034173
213.0625,-1.875,-3.625,-0.124216,-0.129433,1.912232
213.3125,-1.875,-3.6875,0.458723,-0.328727,2.551358
213.4375,-1.8125,-3.875,0.991377,-0.240857,2.806382
213.5,-1.375,-4,-0.306259,0.19884,2.7159
213.5,-0.8125,-4.1875,-0.418854,0.342998,2.853993
213.5625,-0.1875,-4.3125,-0.325,0.206304,2.294204
213.4375,0.5,-4.5,0.177682,0.121165,1.293471
213.25,2,-4.8125,0.071571,0.268216,1.506856
213.125,2.8125,-5,0.03762,0.354192,1.718879
213.0625,3.6875,-5.0625,0.259949,0.495971,1.841207
212.875,4.6875,-5.125,0.204083,0.537458,1.924997
212.6875,5.75,-5.1875,0.039504,0.318562,1.576742
212.375,7,-5.25,-0.370879,0.428196,1.851958
212.0625,8.3125,-5.3125,-0.358306,0.403523,1.651663
211.375,11.125,-5.3125,-0.056127,0.110187,0.919636
211,12.625,-5.3125,0.148444,-0.181648,0.342084
210.6875,14.125,-5.25,-0.234508,-0.161312,0.318831
210.4375,15.6875,-5.125,-0.357205,-0.134873,0.560307
210.25,17.3125,-4.9375,-0.622415,0.025597,0.996024
210.1875,18.9375,-4.75,-1.083915,0.32207,1.183479
209.9375,22.0625,-4.3125,-1.028012,0.192456,0.780584
209.75,23.5,-4.125,-1.002215,0.40661,0.863897
209.5625,24.9375,-4.125,-0.586205,0.143315,0.023521
209.3125,26.375,-4.0625,-0.638619,-0.073082,-0.18624
209,27.8125,-3.875,-0.665979,-0.239552,-0.334249
208.5,30.5625,-3.375,-0.735417,-0.405762,-0.484821
208.3125,31.9375,-2.875,-0.880184,-0.350065,-0.276061
208.125,33.25,-2.125,-0.858291,-0.022885,0.445218
208,34.5625,-1.6875,-0.810503,-0.037006,-0.157656
207.8125,35.875,-1.4375,-0.89477,-0.136953,-0.214424
207.625,37.25,-1,-0.847068,-0.058164,-0.15582
207.25,39.875,-0.0625,-0.60818,-0.117296,-0.246929
207.0625,41.1875,0.3125,-0.638851,-0.261884,-0.425233
206.875,42.5,0.75,-0.724793,-0.287907,-0.399658
206.75,43.8125,1.25,-0.83695,-0.121638,-0.273872
206.625,45.1875,1.6875,-0.937068,0.061212,-0.128275
206.5,46.5625,2.1875,-1.021343,0.221982,-0.228534
206.1875,49.375,3.1875,-1.159733,0.1381,-0.490136
206,50.8125,3.75,-1.3669,0.081995,-0.483237
205.75,52.1875,4.3125,-1.426833,0.099868,-0.350562
205.5,53.625,4.9375,-1.336841,0.076582,-0.240625
205.25,55,5.625,-1.271357,0.144988,-0.085289
204.5625,57.6875,7.125,-1.184436,0.212435,0.007968
204.25,59,7.9375,-0.957418,0.158781,-0.213551
203.8125,60.375,8.8125,-1.097322,0.053588,-0.354264
203.375,61.8125,9.8125,-1.132831,0.011864,-0.408604
202.875,63.25,11,-1.182838,0.029376,-0.424103
202.4375,64.6875,12.375,-1.283433,0.064677,-0.240242
201.5,67.5,15.5625,-1.104686,0.091834,-0.037995
200.9375,68.875,17.5625,-0.76444,0.065724,0.005804
200.3125,70.1875,19.8125,-0.514533,-0.092846,-0.244691
199.625,71.5,22.4375,-0.549319,-0.211975,-0.23267
199,72.6875,25.5,-0.449597,-0.244879,-0.196543
198.3125,73.9375,29.125,-0.362445,-0.271642,-0.189414
196.875,76.25,38.5,-0.381417,-0.262413,-0.110246
196.125,77.3125,44.5625,-0.415424,-0.200305,0.114081
195.375,78.1875,51.8125,-0.309319,-0.153475,0.149599
194.5625,78.875,60.25,-0.306535,-0.208509,0.129383
193.6875,79.3125,69.6875,-0.397581,-0.068266,0.35614
192.125,79.5625,88.0625,-0.483725,-0.113492,0.177263
191.375,79.25,97.9375,-0.619449,0.006503,0.522841
190.5,78.6875,107,-0.666784,0.148828,0.783516
189.625,77.8125,115.375,-0.506424,0.025888,0.468177
188.5625,76.625,122.75,-0.595368,0.023481,0.35944
187.375,75.125,129.0625,-0.526482,-0.038302,0.17364
186.125,73.375,134.1875,-0.740089,-0.095497,0.014645
183.4375,69.625,141.5,-0.757884,-0.144461,0.159573
181.9375,67.75,143.9375,-0.939533,-0.052005,0.471382
180.3125,65.8125,145.875,-0.964807,0.058487,0.650447
178.5,63.75,147.4375,-1.152285,0.096973,0.836483
176.4375,61.5625,148.6875,-1.700781,0.336676,1.528176
171.5625,57.3125,149.9375,-2.108568,0.371401,1.702443
168.625,55.25,150,-2.044377,0.252356,1.400668
165.375,53.0625,149.875,-2.005936,0.09282,0.884236
161.875,50.875,149.6875,-1.955691,-0.022639,0.474841
158.25,48.75,149.375,-1.980987,0.155534,0.778366
150.75,44.75,148.4375,-1.774165,0.190184,0.818572
146.6875,42.75,147.8125,-1.721189,0.18823,0.692119
142.5,40.6875,147.3125,-2.064715,0.150428,0.326685
138.125,38.625,146.6875,-1.799011,0.260528,0.526276
133.5625,36.625,145.9375,-1.548302,0.001971,0.207618
128.8125,34.5625,145.25,-1.388786,-0.371898,-0.21543
124.0625,32.625,144.5,-1.370932,-0.461937,-0.309592
114.75,28.8125,143.1875,-1.301185,-0.408609,-0.123936
110.3125,27.0625,142.5,-0.976082,-0.645753,-0.090172
210.625,25.4375,141.8125,-0.849655,-0.747559,-0.236526
211.125,23.875,141.125,-0.795405,-0.735121,-0.307848
211.5,22.375,140.5,-0.837484,-0.659667,-0.299608
212.125,19.75,139.1875,-0.897406,-0.613059,-0.147008
212.3125,18.6875,138.5,-0.715486,-0.363216,0.279727
83.25,17.625,137.75,-0.506767,-0.371048,0.281302
80.0625,16.625,137.125,-0.657136,-0.544653,-0.014021
76.875,15.5625,136.5,-0.904206,-0.619319,-0.143396
70.6875,13.5,135.3125,-0.69514,-0.717115,-0.47663
67.75,12.5,134.75,-0.572038,-0.805795,-0.626851
64.75,11.4375,134.25,-0.474908,-0.808341,-0.558102
61.875,10.5,133.8125,-0.245444,-0.868863,-0.588
59.25,9.625,133.4375,-0.28344,-0.774668,-0.464363
56.75,8.8125,133,-0.307888,-0.619273,-0.427019
54.4375,8.125,132.625,-0.523456,-0.606171,-0.412404
50.1875,6.875,131.75,-0.694,-0.522742,0.076693
48.0625,6.3125,131.3125,-0.688055,-0.423078,0.186979
45.875,5.625,130.8125,-0.762835,-0.308849,0.191909
43.6875,5,130.375,-1.002803,-0.250211,0.124071
41.4375,4.25,129.9375,-1.047325,-0.154416,0.149823
39.3125,3.5625,129.5625,-1.001377,-0.147333,0.106421
34.9375,2.0625,128.75,-1.066624,-0.258968,-0.112219
32.75,1.3125,128.375,-0.989239,-0.345658,-0.056206
30.6875,0.5,127.9375,-1.127971,-0.34152,0.203353
29,-0.125,127.375,-0.914457,-0.554963,0.023842
27.5,-0.6875,126.5625,-0.812461,-0.992174,-0.405199
26,-1.3125,125.875,-0.860343,-0.860135,-0.675106
24.625,-1.875,125.125,-0.908198,-0.710806,-1.137607
21.5,-3.125,123.3125,-1.474429,-1.543997,-0.076763
20.625,-3.5625,122.5625,-0.733576,-0.744674,-0.389267
19.5625,-4.0625,122,-0.812624,-0.828475,-0.82147
18.6875,-4.5625,121.625,-0.973451,-0.931525,-0.619089
18,-4.9375,121.3125,-0.842028,-0.995211,-0.578607
17.375,-5.3125,121,-0.669026,-1.069544,-0.678656
