x,y,z
0.0,-0.00030588,0.0
0.0,-0.00059166,0.0
0.0,-0.00094081,0.0
0.0,-0.00135377,0.0
0.0,-0.0016661900000000001,0.0
0.0,-0.00190989,0.0
0.0,-0.00208895,0.0
0.0,-0.00230522,0.0
0.0,-0.00253481,0.0
0.0,-0.0027975300000000003,0.0
0.0,-0.00307052,0.0
0.0,-0.0033332300000000004,0.0
0.0,-0.0035597100000000002,0.0
0.0,-0.00376544,0.0
0.0,-0.00396062,0.0
0.0,-0.00416671,0.0
0.0,-0.00437498,0.0
0.0,-0.0046091,0.0
0.0,-0.00488916,0.0
0.0,-0.00517724,0.0
0.0,-0.00546622,0.0
0.0,-0.00572808,0.0
0.0,-0.00606977,0.0
0.0,-0.0064422,0.0
0.0,-0.006824660000000001,0.0
0.0,-0.007226830000000001,0.0
0.0,-0.007649100000000001,0.0
0.0,-0.008079310000000001,0.0
0.0,-0.008470600000000002,0.0
0.0,-0.008838280000000002,0.0
0.0,-0.009152610000000002,0.0
0.0,-0.009378840000000003,0.0
0.0,-0.009558930000000004,0.0
0.0,-0.009715530000000003,0.0
0.0,-0.009872040000000004,0.0
0.0,-0.009982080000000004,0.0
0.0,-0.010082330000000004,0.0
0.0,-0.010174920000000004,0.0
0.0,-0.010310060000000005,0.0
0.0,-0.010469410000000005,0.0
0.0,-0.010675790000000006,0.0
0.0,-0.010918450000000007,0.0
0.0,-0.011175580000000006,0.0
0.0,-0.011427740000000006,0.0
0.0,-0.011687620000000006,0.0
0.0,-0.011939600000000007,0.0
0.0,-0.012187290000000007,0.0
0.0,-0.012421460000000007,0.0
0.0,-0.012730570000000007,0.0
0.0,-0.013021470000000007,0.0
0.0,-0.013238560000000007,0.0
0.0,-0.013414730000000007,0.0
0.0,-0.013576700000000008,0.0
0.0,-0.013771310000000007,0.0
0.0,-0.013978280000000008,0.0
0.0,-0.014213000000000009,0.0
0.0,-0.014420520000000008,0.0
0.0,-0.014597670000000007,0.0
0.0,-0.014745010000000006,0.0
0.0,-0.014834760000000006,0.0
0.0,-0.014886980000000006,0.0
0.0,-0.014928630000000007,0.0
0.0,-0.014976470000000007,0.0
0.0,-0.015086220000000008,0.0
0.0,-0.015208180000000009,0.0
0.0,-0.015335260000000009,0.0
0.0,-0.01548906000000001,0.0
0.0,-0.01567433000000001,0.0
0.0,-0.01592104000000001,0.0
0.0,-0.016323570000000013,0.0
0.0,-0.01685073000000001,0.0
0.0,-0.017454820000000013,0.0
0.0,-0.018075640000000014,0.0
0.0,-0.018597370000000016,0.0
0.0,-0.019010970000000016,0.0
0.0,-0.019337100000000017,0.0
0.0,-0.019585430000000018,0.0
0.0,-0.019831280000000017,0.0
0.0,-0.020171860000000017,0.0
0.0,-0.020505430000000015,0.0
0.0,-0.020876160000000015,0.0
0.0,-0.021201440000000016,0.0
0.0,-0.021567920000000015,0.0
0.0,-0.021994950000000013,0.0
0.0,-0.022465960000000014,0.0
0.0,-0.023063900000000016,0.0
0.0,-0.023774730000000015,0.0
0.0,-0.024567310000000016,0.0
0.0,-0.025309020000000015,0.0
0.0,-0.025842560000000014,0.0
0.0,-0.026398230000000016,0.0
0.0,-0.026785300000000015,0.0
0.0,-0.027196680000000015,0.0
0.0,-0.027628350000000013,0.0
0.0,-0.028183830000000014,0.0
0.0,-0.028780010000000016,0.0
0.0,-0.029462370000000015,0.0
0.0,-0.029960890000000014,0.0
0.0,-0.030485730000000013,0.0
0.0,-0.03108568000000001,0.0
0.0,-0.031572980000000014,0.0
0.0,-0.03202616000000001,0.0
0.0,-0.03259044000000001,0.0
0.0,-0.03327548000000001,0.0
0.0,-0.03423504000000001,0.0
0.0,-0.03492852000000001,0.0
0.0,-0.035261080000000014,0.0
0.0,-0.03558809000000002,0.0
0.0,-0.035771690000000016,0.0
0.0,-0.03598178000000002,0.0
0.0,-0.03621922000000002,0.0
0.0,-0.03655770000000002,0.0
0.0,-0.03699948000000002,0.0
0.0,-0.03746654000000002,0.0
0.0,-0.03784459000000002,0.0
0.0,-0.038213860000000016,0.0
0.0,-0.03859240000000001,0.0
0.0,-0.03886086000000001,0.0
0.0,-0.039052810000000014,0.0
0.0,-0.039159710000000014,0.0
0.0,-0.039325310000000016,0.0
0.0,-0.03956063000000001,0.0
0.0,-0.03987150000000001,0.0
0.0,-0.04028260000000001,0.0
0.0,-0.04072484000000001,0.0
0.0,-0.041033330000000014,0.0
0.0,-0.04106525000000001,0.0
0.0,-0.041404810000000014,0.0
0.00209908,-0.043534310000000014,0.0
0.00209908,-0.04358732000000001,0.0
0.00209908,-0.04329713000000001,0.0025220700000000004
0.00209908,-0.04156013000000001,0.01714937
0.00752882,-0.043439830000000006,0.03946722
0.00752882,-0.036585980000000004,0.07980894999999999
0.00752882,-0.03788031000000001,0.09893126999999999
0.01211605,-0.04116758000000001,0.12444485
0.02202982,-0.04357615000000001,0.15250867
0.018967229999999998,-0.04158775000000001,0.17966767
0.014778689999999997,-0.03815777000000001,0.2082076
0.011528689999999998,-0.036094730000000005,0.23114964
0.011528689999999998,-0.034883080000000004,0.24408434999999998
0.011528689999999998,-0.03220092,0.25915290999999996
0.011528689999999998,-0.028659,0.27634169999999997
0.014128179999999997,-0.02369929,0.29475376999999997
0.016169009999999998,-0.01832471,0.31400374
0.016169009999999998,-0.015139090000000001,0.32977115999999995
0.012460219999999998,-0.01085713,0.34829073999999993
0.008877159999999997,-0.0068219,0.3648073699999999
0.008877159999999997,-0.005720029999999999,0.3740037299999999
0.008877159999999997,-0.00753651,0.3774245699999999
0.006532079999999997,-0.00914963,0.38061287999999993
0.002960029999999997,-0.01049836,0.3862159499999999
-0.003264120000000003,-0.01024239,0.39617618999999993
-0.014103270000000005,-0.007021690000000001,0.4080109799999999
-0.024383390000000005,-0.005097130000000001,0.4158168199999999
-0.034405540000000005,-0.0010310300000000005,0.42445578999999994
-0.040267590000000006,0.0004021199999999995,0.42445578999999994
-0.046653780000000006,-0.00032870000000000045,0.42445578999999994
-0.053313570000000005,-0.0027242200000000003,0.42111329999999997
-0.060667740000000005,-0.006781840000000001,0.41626508999999995
-0.06946958,-0.010282490000000002,0.41350447999999995
-0.07805249,-0.010511340000000001,0.41795666
-0.08615752,-0.010881400000000001,0.41795666
-0.09510522,-0.01225093,0.41581241999999996
-0.1035759,-0.01283257,0.41581241999999996
-0.1096577,-0.01400553,0.41334312999999995
-0.11604621,-0.01662437,0.4090907999999999
-0.12329414,-0.01950344,0.4050942199999999
-0.13166364,-0.02071982,0.40235549999999987
-0.14103432,-0.0201077,0.40235549999999987
-0.15124775,-0.01788788,0.40007015999999984
-0.16284507999999998,-0.016506879999999998,0.3951687999999998
-0.17651407999999996,-0.015686929999999998,0.39033642999999985
-0.19078240999999996,-0.014688249999999998,0.38683080999999986
-0.20415081999999996,-0.013922429999999998,0.38442455999999986
-0.21686438999999996,-0.012472549999999997,0.38442455999999986
-0.22870874999999996,-0.010348199999999997,0.38442455999999986
-0.23828292999999995,-0.008760389999999996,0.38228904999999985
-0.24925614999999995,-0.008224509999999996,0.37874640999999987
-0.26058445999999996,-0.008105869999999996,0.37466036999999985
-0.27241284,-0.007812109999999996,0.3704193399999999
-0.28524717,-0.007165339999999997,0.36801691999999986
-0.29629403,-0.0062469999999999965,0.36801691999999986
-0.30393843,-0.005589759999999997,0.36801691999999986
-0.30908376,-0.0065182199999999964,0.36557000999999983
-0.31457694999999997,-0.008637969999999997,0.3632433099999998
-0.31907292,-0.011086759999999998,0.3632433099999998
-0.32269737,-0.013803179999999998,0.3632433099999998
-0.32651154,-0.016427309999999997,0.3632433099999998
-0.33066577999999996,-0.018430359999999996,0.3632433099999998
-0.33375897,-0.019965109999999998,0.3632433099999998
-0.33682432,-0.0220502,0.3632433099999998
-0.34080013000000003,-0.02273286,0.3668047099999998
-0.34563738000000005,-0.02386778,0.3668047099999998
-0.35183187000000005,-0.02380275,0.37203311999999983
-0.35849971,-0.022314470000000003,0.37986827999999984
-0.36356395,-0.022055590000000003,0.3845500499999998
-0.36951763000000004,-0.021820780000000005,0.3881444499999998
-0.37478245000000004,-0.022203800000000006,0.3881444499999998
-0.38218334000000004,-0.023158770000000006,0.3881444499999998
-0.38976218,-0.024603380000000005,0.3881444499999998
